Компания,Название модели,Кодовое название,Дата выпуска,Контекстное окно,Максимальный output,Цена за 1M input токенов,Цена за 1M output токенов,Валюта,Модальность,Доступность в РФ,Требования к доступу,Скорость,Качество,Специализация,Языковая поддержка,API документация URL,Теги
Moonshot,Kimi K2 Instruct,kimi-k2-instruct,2024-10,262144,16000,2.50,10.00,USD,text,Да,API key,Medium,High,General,50+,https://platform.moonshot.cn/docs,"general,long-context,analytics"
Moonshot,Kimi K2 Instruct 0905,kimi-k2-instruct-0905,2024-09,262144,16000,2.50,10.00,USD,text,Да,API key,Medium,High,General,50+,https://platform.moonshot.cn/docs,"general,long-context,analytics"
OpenAI,GPT-4O,gpt-4o,2024-05,128000,4000,2.50,10.00,USD,multimodal,VPN,API key,Fast,Very High,General,100+,https://openai.com/api/pricing,"general,coding,analytics,business"
OpenAI,GPT-4O Mini,gpt-4o-mini,2024-07,128000,16000,0.15,0.60,USD,multimodal,VPN,API key,Fast,High,General,100+,https://openai.com/api/pricing,"general,coding,development"
OpenAI,GPT-3.5 Turbo,gpt-3.5-turbo,2024-01,16384,4000,0.50,1.50,USD,text,VPN,API key,Fast,Medium,General,100+,https://openai.com/api/pricing,"general,coding,chat"
Tencent,Hunyuan T1 Latest,hunyuan-t1-latest,2024-10,32000,64000,1.20,6.00,USD,multimodal,Да,API key,Medium,High,General,50+,https://cloud.tencent.com/document/product/1729,"general,chinese,business"
Tencent,Hunyuan Turbos Latest,hunyuan-turbos-latest,2024-10,32000,16000,0.80,4.00,USD,multimodal,Да,API key,Fast,High,General,50+,https://cloud.tencent.com/document/product/1729,"general,chinese,development"
Tencent,Hunyuan Large,hunyuan-large,2024-10,28000,4000,2.00,8.00,USD,multimodal,Да,API key,Medium,Very High,General,50+,https://cloud.tencent.com/document/product/1729,"general,chinese,enterprise"
Tencent,Hunyuan T1 Vision,hunyuan-t1-vision,2024-10,16000,24000,1.50,7.50,USD,multimodal,Да,API key,Medium,High,Vision,50+,https://cloud.tencent.com/document/product/1729,"vision,chinese,analytics"
Tencent,Hunyuan Turbos Vision,hunyuan-turbos-vision,2024-10,16000,16000,1.00,5.00,USD,multimodal,Да,API key,Fast,High,Vision,50+,https://cloud.tencent.com/document/product/1729,"vision,chinese,development"
Tencent,Hunyuan Image,hunyuan-image,2024-10,1024,4,0.50,2.00,USD,image,Да,API key,Medium,High,Creative,50+,https://cloud.tencent.com/document/product/1729,"image,chinese,creative"
Z.ai,GLM 4.5 Air,zai-org/GLM-4.5-Air-FP8,2024-10,131072,8000,0.30,1.20,USD,multimodal,Да,API key,Fast,High,General,50+,https://open.bigmodel.cn/dev/api,"general,chinese,development"
Qwen,Qwen3 235B-A22B Thinking,qwen3-235b-thinking,2024-10,262144,8000,2.00,8.00,USD,multimodal,Да,API key,Medium,Very High,Reasoning,50+,https://help.aliyun.com/zh/model-developer/world-model/"reasoning,chinese,research"
Qwen,Qwen3-Coder 480B-A35B Instruct,qwen3-coder-480b,2024-10,256000,8000,3.00,12.00,USD,text,Да,API key,Medium,Very High,Coding,50+,https://help.aliyun.com/zh/model-developer/world-model/"coding,chinese,development"
Qwen,Qwen3 235B-A22B Instruct,qwen3-235b-instruct,2024-10,262144,8000,2.50,10.00,USD,multimodal,Да,API key,Medium,High,General,50+,https://help.aliyun.com/zh/model-developer/world-model/"general,chinese,business"
Qwen,Qwen3-Next-80B-A3B Instruct,qwen3-next-80b-instruct,2024-10,262144,8000,1.50,6.00,USD,multimodal,Да,API key,Fast,High,General,50+,https://help.aliyun.com/zh/model-developer/world-model/"general,chinese,development"
Qwen,Qwen3-Next-80B-A3B Thinking,qwen3-next-80b-thinking,2024-10,262144,8000,1.50,6.00,USD,multimodal,Да,API key,Fast,High,Reasoning,50+,https://help.aliyun.com/zh/model-developer/world-model/"reasoning,chinese,analytics"
Yandex,YandexGPT 4,yandexgpt-4,2024-06,128000,8000,2.00,8.00,RUB,multimodal,Да,API key,Medium,High,General,50+,https://yandex.cloud/ru/docs/yandexgpt/pricing,"general,russian,business"
Yandex,YandexGPT 3,yandexgpt-3,2024-01,8000,4000,0.50,2.00,RUB,multimodal,Да,API key,Fast,Medium,General,50+,https://yandex.cloud/ru/docs/yandexgpt/pricing,"general,russian,development"
Sber,GigaChat Pro,gigachat-pro,2024-10,32000,8000,1.50,6.00,RUB,multimodal,Да,API key,Medium,High,General,50+,https://developers.sber.ru/docs/ru/gigachat/api,"general,russian,business"
Sber,GigaChat Lite,gigachat-lite,2024-01,8000,4000,0.30,1.20,RUB,multimodal,Да,API key,Fast,Medium,General,50+,https://developers.sber.ru/docs/ru/gigachat/api,"general,russian,development"
Baidu,ERNIE 4.0,ernie-4.0,2024-10,128000,8000,1.80,7.20,CNY,multimodal,Да,API key,Medium,High,General,50+,https://cloud.baidu.com/doc/WENXINWORKSHOP/s/jlil56u11,"general,chinese,business"
Baidu,ERNIE 3.5,ernie-3.5,2024-01,32000,4000,0.80,3.20,CNY,multimodal,Да,API key,Fast,Medium,General,50+,https://cloud.baidu.com/doc/WENXINWORKSHOP/s/jlil56u11,"general,chinese,development"
